iter	Passed	Remaining
0	13	13804
1	19	9847
2	26	8809
3	31	7956
4	37	7459
5	43	7145
6	48	6926
7	54	6758
8	60	6649
9	66	6550
10	72	6497
11	79	6532
12	85	6467
13	91	6435
14	96	6354
15	102	6284
16	108	6249
17	113	6195
18	119	6150
19	125	6143
20	130	6096
21	136	6072
22	142	6056
23	148	6022
24	153	5995
25	159	5961
26	164	5927
27	170	5925
28	177	5952
29	183	5928
30	189	5914
31	194	5891
32	200	5862
33	206	5862
34	212	5848
35	218	5844
36	224	5830
37	229	5808
38	235	5805
39	240	5782
40	246	5760
41	252	5749
42	257	5733
43	263	5714
44	268	5705
45	275	5705
46	280	5686
47	286	5682
48	291	5661
49	296	5642
50	302	5635
51	308	5617
52	313	5600
53	319	5598
54	325	5587
55	330	5578
56	337	5576
57	342	5561
58	348	5551
59	355	5567
60	360	5554
61	366	5546
62	372	5542
63	378	5530
64	384	5532
65	390	5524
66	395	5511
67	401	5509
68	407	5496
69	413	5488
70	418	5480
71	424	5468
72	430	5462
73	435	5451
74	440	5438
75	446	5430
76	452	5425
77	458	5416
78	464	5418
79	470	5411
80	475	5400
81	482	5400
82	488	5393
83	493	5386
84	500	5383
85	505	5371
86	511	5370
87	517	5362
88	522	5352
89	528	5346
90	534	5339
91	539	5328
92	545	5322
93	551	5314
94	556	5305
95	562	5300
96	568	5291
97	573	5282
98	580	5279
99	585	5271
100	591	5261
101	597	5259
102	603	5253
103	609	5248
104	615	5244
105	620	5234
106	626	5228
107	632	5220
108	637	5214
109	643	5210
110	649	5202
111	655	5193
112	661	5192
113	666	5183
114	672	5176
115	678	5174
116	684	5165
117	690	5159
118	696	5159
119	702	5152
120	708	5149
121	715	5147
122	720	5139
123	727	5137
124	732	5130
125	738	5125
126	744	5120
127	750	5115
128	757	5111
129	762	5105
130	768	5099
131	775	5100
132	781	5092
133	787	5089
134	794	5090
135	800	5085
136	806	5082
137	813	5080
138	819	5075
139	826	5075
140	832	5071
141	838	5067
142	844	5063
143	850	5056
144	856	5053
145	863	5049
146	870	5052
147	877	5050
148	883	5046
149	890	5046
150	896	5042
151	902	5037
152	909	5034
153	916	5033
154	923	5033
155	929	5028
156	935	5023
157	942	5021
158	948	5017
159	955	5018
160	962	5013
161	968	5012
162	975	5007
163	981	5003
164	988	5000
165	995	5001
166	1002	5002
167	1009	4999
168	1015	4994
169	1022	4991
170	1028	4986
171	1035	4983
172	1041	4978
173	1048	4975
174	1054	4973
175	1061	4968
176	1067	4965
177	1074	4960
178	1080	4956
179	1087	4955
180	1094	4952
181	1101	4948
182	1107	4942
183	1113	4938
184	1120	4934
185	1127	4932
186	1133	4928
187	1140	4925
188	1146	4921
189	1154	4922
190	1160	4917
191	1167	4913
192	1173	4908
193	1180	4903
194	1187	4900
195	1193	4894
196	1199	4890
197	1206	4886
198	1212	4882
199	1219	4877
200	1225	4872
201	1232	4868
202	1238	4862
203	1244	4857
204	1251	4853
205	1257	4847
206	1264	4844
207	1270	4839
208	1278	4838
209	1284	4833
210	1291	4830
211	1299	4830
212	1306	4826
213	1313	4822
214	1319	4817
215	1326	4813
216	1332	4808
217	1338	4803
218	1345	4799
219	1352	4794
220	1358	4788
221	1365	4785
222	1371	4778
223	1378	4774
224	1384	4767
225	1390	4760
226	1396	4755
227	1402	4748
228	1408	4742
229	1415	4738
230	1421	4732
231	1427	4726
232	1433	4719
233	1440	4714
234	1446	4709
235	1452	4703
236	1459	4698
237	1465	4692
238	1471	4685
239	1478	4682
240	1484	4675
241	1490	4668
242	1496	4662
243	1502	4655
244	1508	4649
245	1515	4644
246	1521	4637
247	1527	4632
248	1533	4626
249	1540	4621
250	1546	4615
251	1552	4608
252	1559	4603
253	1565	4597
254	1571	4591
255	1577	4585
256	1583	4578
257	1590	4575
258	1596	4568
259	1603	4562
260	1610	4560
261	1616	4554
262	1623	4549
263	1629	4543
264	1636	4537
265	1642	4533
266	1649	4527
267	1656	4524
268	1662	4518
269	1668	4511
270	1675	4507
271	1681	4501
272	1688	4495
273	1694	4488
274	1700	4482
275	1706	4477
276	1713	4471
277	1719	4466
278	1726	4460
279	1732	4454
280	1738	4447
281	1743	4440
282	1750	4434
283	1757	4430
284	1763	4423
285	1769	4418
286	1775	4410
287	1781	4403
288	1788	4399
289	1794	4392
290	1800	4386
291	1806	4381
292	1812	4374
293	1819	4370
294	1826	4365
295	1832	4359
296	1838	4352
297	1844	4346
298	1851	4340
299	1857	4333
300	1863	4327
301	1869	4321
302	1876	4315
303	1882	4310
304	1889	4304
305	1895	4297
306	1902	4293
307	1908	4286
308	1914	4280
309	1920	4275
310	1926	4268
311	1933	4262
312	1939	4257
313	1945	4250
314	1952	4245
315	1958	4239
316	1965	4234
317	1971	4228
318	1977	4221
319	1983	4215
320	1989	4208
321	1995	4202
322	2002	4196
323	2007	4189
324	2014	4184
325	2021	4179
326	2028	4173
327	2034	4168
328	2041	4162
329	2047	4157
330	2054	4151
331	2060	4145
332	2066	4138
333	2072	4132
334	2079	4128
335	2086	4122
336	2092	4115
337	2098	4110
338	2104	4103
339	2110	4097
340	2117	4091
341	2123	4085
342	2129	4079
343	2136	4074
344	2142	4068
345	2149	4063
346	2155	4056
347	2162	4050
348	2168	4044
349	2174	4037
350	2180	4032
351	2186	4025
352	2193	4020
353	2199	4014
354	2206	4008
355	2212	4002
356	2218	3996
357	2224	3989
358	2231	3983
359	2237	3977
360	2244	3972
361	2250	3965
362	2256	3960
363	2263	3954
364	2269	3948
365	2275	3942
366	2281	3935
367	2288	3930
368	2295	3925
369	2301	3918
370	2307	3912
371	2314	3907
372	2320	3901
373	2327	3895
374	2334	3891
375	2341	3885
376	2347	3879
377	2354	3873
378	2360	3867
379	2366	3860
380	2372	3855
381	2379	3849
382	2385	3842
383	2392	3837
384	2398	3831
385	2405	3826
386	2413	3822
387	2420	3817
388	2426	3811
389	2433	3805
390	2440	3800
391	2446	3795
392	2453	3789
393	2460	3783
394	2467	3778
395	2473	3773
396	2480	3767
397	2486	3761
398	2493	3755
399	2499	3748
400	2506	3743
401	2512	3737
402	2518	3731
403	2524	3724
404	2531	3718
405	2537	3712
406	2543	3705
407	2549	3699
408	2556	3693
409	2562	3687
410	2569	3681
411	2575	3676
412	2581	3669
413	2588	3663
414	2594	3657
415	2601	3652
416	2608	3646
417	2614	3640
418	2621	3635
419	2627	3628
420	2634	3623
421	2640	3616
422	2646	3610
423	2653	3604
424	2659	3598
425	2666	3592
426	2672	3586
427	2679	3580
428	2685	3574
429	2691	3567
430	2698	3562
431	2704	3556
432	2710	3549
433	2717	3543
434	2723	3537
435	2729	3531
436	2736	3525
437	2741	3518
438	2748	3512
439	2754	3505
440	2760	3499
441	2767	3493
442	2773	3486
443	2779	3480
444	2785	3473
445	2791	3467
446	2797	3461
447	2804	3454
448	2810	3448
449	2816	3442
450	2822	3435
451	2829	3429
452	2835	3423
453	2841	3416
454	2848	3411
455	2854	3405
456	2860	3399
457	2867	3393
458	2873	3386
459	2880	3381
460	2886	3374
461	2892	3368
462	2899	3362
463	2905	3356
464	2912	3350
465	2918	3344
466	2924	3338
467	2931	3331
468	2936	3325
469	2943	3318
470	2949	3312
471	2955	3306
472	2961	3299
473	2967	3293
474	2974	3287
475	2980	3281
476	2986	3274
477	2992	3268
478	2999	3262
479	3005	3255
480	3011	3249
481	3017	3243
482	3024	3237
483	3030	3230
484	3036	3224
485	3043	3218
486	3048	3211
487	3054	3205
488	3061	3198
489	3067	3192
490	3073	3186
491	3080	3180
492	3086	3174
493	3093	3168
494	3099	3161
495	3105	3155
496	3112	3149
497	3118	3143
498	3125	3138
499	3131	3131
500	3137	3125
501	3144	3119
502	3150	3112
503	3157	3106
504	3162	3100
505	3169	3094
506	3175	3087
507	3181	3081
508	3187	3074
509	3194	3068
510	3200	3062
511	3206	3056
512	3212	3050
513	3218	3043
514	3225	3037
515	3231	3031
516	3238	3025
517	3244	3018
518	3250	3012
519	3257	3006
520	3263	3000
521	3270	2994
522	3276	2988
523	3282	2981
524	3288	2975
525	3295	2969
526	3301	2963
527	3307	2957
528	3313	2950
529	3320	2944
530	3326	2937
531	3332	2931
532	3338	2925
533	3344	2918
534	3351	2912
535	3357	2906
536	3363	2899
537	3370	2894
538	3376	2887
539	3382	2881
540	3389	2875
541	3394	2868
542	3402	2863
543	3407	2856
544	3414	2850
545	3421	2845
546	3427	2838
547	3434	2832
548	3440	2826
549	3447	2820
550	3453	2814
551	3460	2808
552	3466	2802
553	3472	2795
554	3478	2788
555	3484	2782
556	3490	2776
557	3496	2769
558	3503	2763
559	3508	2757
560	3514	2750
561	3520	2744
562	3526	2737
563	3533	2731
564	3539	2725
565	3545	2718
566	3552	2712
567	3558	2706
568	3564	2699
569	3570	2693
570	3576	2686
571	3583	2681
572	3589	2674
573	3595	2668
574	3602	2662
575	3608	2656
576	3615	2650
577	3621	2644
578	3627	2637
579	3633	2631
580	3639	2624
